"","id","Data.source.citation","Class","Order","Family","Genus","Species","Sub.species","Authority","Common.Name","Location.of.population","Country.list","Region","Decimal.Latitude","Decimal.Longitude","Are.coordinates.for.specific.location.","system","biome","realm","Native","Alien","Invasive","Units","Sampling.method","Data.transformed","mu","lCI","uCI","sigma^2","tau^2","x0","Start","End"
"31",276," Mooij, J. H. (2000). Ergebnisse des GÌ_nsemonitorings in Deutschland und der westlichen PalÌ_arktis von 1950 bis 1995. . Vogelwelt. 121: 319-330.","Aves","Anseriformes","Anatidae","Anser","albifrons",NA,"(Scopoli, 1769)","Greater white-fronted goose / White-fronted goose","Germany","Germany","Europe",51.5,10.5,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Number of individuals","Count / census","No",0.131284724073158,-0.130629705395885,0.393199153542201,0.102935237528283,0.0135514633082747,0.200019506870796,1,7
"32",277," WWT, W. W. T. (2005). Report of the 2004/2005 national census of greenland white-fronted geese in Britain. Greenland white-fronted goose study, WWT: 1-9.","Aves","Anseriformes","Anatidae","Anser","albifrons","flavirostris","(Scopoli, 1769)","Greater white-fronted goose / White-fronted goose","Great Britain, Ireland, Greenland","United Kingdom, Greenland, Ireland","Europe",56.21639,-4.38222,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Total spring population count","Coordinated international spring counts","No",0.0644026229680155,0.0335911619043165,0.0952140840317145,0.00330380711301529,0.00489103833889191,0.0194398155358619,1,16
"33",281," Mooij, J. H. (2000). Ergebnisse des GÌ_nsemonitorings in Deutschland und der westlichen PalÌ_arktis von 1950 bis 1995. . Vogelwelt. 121: 319-330.","Aves","Anseriformes","Anatidae","Anser","fabalis",NA,"(Latham, 1787)","Bean goose","Germany","Germany","Europe",51.5,10.5,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Number of individuals","Count / census","No",-0.0252525251536027,-0.359245366005751,0.308740315698546,0.174226183135147,1.02375338296123e-09,0.883737370225622,1,7
"34",283," Wesolowski, T. and L. Tomialojc (1997). Breeding bird dynamics in a primeval temeperate forest: long-term trends in Bialowieza national Park (Poland). Ecography 20: 432-453.","Aves","Passeriformes","Motacillidae","Anthus","trivialis",NA,"(Linnaeus, 1758)","Tree pipit","Bialowieza National Park, Poland","Poland","Europe",52.75972,23.64972,TRUE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Number of breeding pairs","Permanent census plots","No",-0.0716160681673169,-0.164387476304996,0.0211553399703627,0.0291245687947137,1.18482680226353e-09,0.719598258506498,1,14
"35",284," Svensson, S., M. Svensson, et al. (1999). Svensk Fagelatlas (Swedish Bird Atlas). VÌ´r FÌ´gelvÌ_rld. : 551.","Aves","Passeriformes","Motacillidae","Anthus","trivialis",NA,"(Linnaeus, 1758)","Tree pipit","Sweden","Sweden","Europe",62,15,FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Population index","Unknown","No",0.00301659133852229,-0.132490094379599,0.138523277056643,0.0812565188718338,1.98366398757605e-08,0.0326245149405984,1,18
"36",285," Svensson, S., M. Svensson, et al. (1999). Svensk Fagelatlas (Swedish Bird Atlas). VÌ´r FÌ´gelvÌ_rld. : 551.","Aves","Apodiformes","Apodidae","Apus","apus",NA,"(Linnaeus, 1758)","Common swift","Sweden","Sweden","Europe",62,15,FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Population index","Unknown","No",0.000515995026738304,-0.135636092096651,0.136668082150128,0.0820323926754329,9.68019822335007e-09,0.184922609684635,1,18
"37",288," Bendt, R. and A. R. (2003). Zug und Rast der Ringelgans Branta b. bernicla im Greifswalder bodden. . Die Vogelwelt 3: 151-156.","Aves","Anseriformes","Anatidae","Branta","bernicla","bernicla","(Linnaeus, 1758)","Light-bellied brent goose / Dark-bellied brent goose","Western Greifswalder Bodden","Germany","Europe",54.25,13.58333,TRUE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Yearly maximum number of individuals","Unknown","No",-0.0122146532561946,-0.0312036194899475,0.00677431297755824,2.46982276100414e-09,0.0454761318076551,0.421157910064406,1,18
"38",290," Clausen, P., J. Madsen, et al. (1998). Population development and changes in winter site use by the Svalbard light-bellied brent goose Branta bernicla hrota 1980-1994. Biological Conservation 84(2): 157-165.","Aves","Anseriformes","Anatidae","Branta","bernicla","hrota","(Linnaeus, 1758)","Light-bellied brent goose / Dark-bellied brent goose","Wintering sites in Denmark and the UK","Denmark, United Kingdom","Europe",78,20,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Number of individuals","Averaged weekly count","No",0.0954545365705208,0.0374166923474726,0.153492380793569,1.63212172816676e-08,0.0526090607004676,-0.0586868247942593,1,9
"39",293," WWT, W. W. T. (2005). Non-native species: Canada Goose in Great Britain. Species accounts. from http://www.wwt.org.uk/research/monitoring/non-native.asp.","Aves","Anseriformes","Anatidae","Branta","canadensis",NA,"(Linnaeus, 1758)","Canada goose","UK","United Kingdom","Europe",52.2,-2.2,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","No","Yes","No","Index of abundance","Winter and breeding season count surveys","No",0.0338193620837378,0.00322525112283129,0.0644134730446443,0.0057463969067398,0.00144063320472284,0.0201281304031327,1,25
"40",294," GÌ_nther, K. and H.-U. RÌ_sner (2000). Bestandsentwicklung der im schleswig-holsteinischen Wattenmeer rastenden Wat- und WasservÌ_gel von 1988 bis 1999. . Vogelwelt 121: 293-299.","Aves","Anseriformes","Anatidae","Branta","leucopsis",NA,"(Bechstein, 1803)","Barnacle goose / Greenland barnacle goose","Schleswig-Holstein, Wadden Sea","Germany","Europe",53.87083,9.00389,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","index based on bird-days","Counts every 15 days at selected sites","No",0.100024902170738,-0.191522198374719,0.391572002716196,0.0781674984163975,0.102379498590178,0.293025967110268,1,6
"41",299," Ebbinge, B. S. (1987). Welke Factoren bepalen de groote van een ganzen-populatie? (Which factors determine the size of goose population?). . De Levende Natuur. Volume 88: Pages 186-193.","Aves","Anseriformes","Anatidae","Branta","leucopsis",NA,"(Bechstein, 1803)","Barnacle goose / Greenland barnacle goose","Russian and Baltic","Russian Federation","Asia",56.85389,27.72222,FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Unknown","Unknown","No",0.0398835489674025,-0.0314038567336035,0.111170954668408,0.0236040883942135,0.00199507714908464,0.0135570179218882,1,19
"42",302," VÌ_isÌ_nen, R. A., E. Lammi, et al. (1998). Miuuttuva PesimÌ_linnusto. Helsinki, Otava 1890.","Aves","Galliformes","Phasianidae","Bonasa","bonasia",NA,"(Linnaeus, 1758)","Hazel grouse","Finland","Finland","Europe",64,26,FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Annual population index","Unknown","No",0.0855855877544963,-0.168594745401002,0.339765920909994,0.100907394291954,3.64400489058258e-09,0.140630621466982,1,7
